"IgnoreCase","LineNumber","Line","Filename","Path","Pattern","Context","Matches"
"True","15","        // Log fatal error to forensic service if available","error.tsx","D:\code\ERP\nexus\frontend\src\app\error.tsx","Forensic",,"System.Text.RegularExpressions.Match[]"
"True","65","  manifest: ""/manifest.json"",","layout.tsx","D:\code\ERP\nexus\frontend\src\app\layout.tsx","Manifest",,"System.Text.RegularExpressions.Match[]"
"True","150","                                : 'Configure your company identity.'}","page.tsx","D:\code\ERP\nexus\frontend\src\app\(auth)\register\page.tsx","Entity",,"System.Text.RegularExpressions.Match[]"
"True","123","            // 1. Pre-flight Integrity Check","page.tsx","D:\code\ERP\nexus\frontend\src\app\(dashboard)\accounting\page.tsx","Integrity",,"System.Text.RegularExpressions.Match[]"
"True","129","                    description: `Found ${valRes.data.errors.length} integrity issues. Please fix before exporting.`,","page.tsx","D:\code\ERP\nexus\frontend\src\app\(dashboard)\accounting\page.tsx","Integrity",,"System.Text.RegularExpressions.Match[]"
"True","516","                                            <p className=""text-[10px] text-slate-600 mb-4 uppercase font-black tracking-[0.2em] relative z-10"">Integrity Score</p>","page.tsx","D:\code\ERP\nexus\frontend\src\app\(dashboard)\accounting\page.tsx","Integrity",,"System.Text.RegularExpressions.Match[]"
"True","266","                                <span className=""text-xs font-black text-emerald-600 uppercase tracking-widest"">Perfect (0.00 Drift)</span>","page.tsx","D:\code\ERP\nexus\frontend\src\app\(dashboard)\accounting\auditor\page.tsx","Drift",,"System.Text.RegularExpressions.Match[]"
"True","84","                        Urgent Intervention","page.tsx","D:\code\ERP\nexus\frontend\src\app\(dashboard)\admin\monitoring\page.tsx","Intervention",,"System.Text.RegularExpressions.Match[]"
"True","120","            {/* Intervention Desk */}","page.tsx","D:\code\ERP\nexus\frontend\src\app\(dashboard)\admin\monitoring\page.tsx","Intervention",,"System.Text.RegularExpressions.Match[]"
"True","129","                                High-Priority Interventions","page.tsx","D:\code\ERP\nexus\frontend\src\app\(dashboard)\admin\monitoring\page.tsx","Intervention",,"System.Text.RegularExpressions.Match[]"
"True","161","                                    {tenant.interventions?.action === 'SCHEDULE_SUPPORT_CALL' && (","page.tsx","D:\code\ERP\nexus\frontend\src\app\(dashboard)\admin\monitoring\page.tsx","Intervention",,"System.Text.RegularExpressions.Match[]"
"True","167","                                    {tenant.interventions?.action === 'SEND_TRAINING_VIDEO' && (","page.tsx","D:\code\ERP\nexus\frontend\src\app\(dashboard)\admin\monitoring\page.tsx","Intervention",,"System.Text.RegularExpressions.Match[]"
"True","50","            {/* Hero psychological anchor */}","page.tsx","D:\code\ERP\nexus\frontend\src\app\(dashboard)\analytics\recovery\page.tsx","Anchor",,"System.Text.RegularExpressions.Match[]"
"True","62","                        System Protected <span className=""text-emerald-300"">?{data.anchors.monthlyProtection.toLocaleString()}</span> This Month.","page.tsx","D:\code\ERP\nexus\frontend\src\app\(dashboard)\analytics\recovery\page.tsx","Anchor",,"System.Text.RegularExpressions.Match[]"
"True","72","                                ?{data.anchors.lifetimeRecovery.toLocaleString()}","page.tsx","D:\code\ERP\nexus\frontend\src\app\(dashboard)\analytics\recovery\page.tsx","Anchor",,"System.Text.RegularExpressions.Match[]"
"True","79","                                {data.anchors.daysSinceDrift} Days","page.tsx","D:\code\ERP\nexus\frontend\src\app\(dashboard)\analytics\recovery\page.tsx","Anchor",,"System.Text.RegularExpressions.Match[]"
"True","220","            {data.anchors.lifetimeRecovery > 50000 && (","page.tsx","D:\code\ERP\nexus\frontend\src\app\(dashboard)\analytics\recovery\page.tsx","Anchor",,"System.Text.RegularExpressions.Match[]"
"True","32","    const syncModuleManifest = async (showLoading = false) => {","page.tsx","D:\code\ERP\nexus\frontend\src\app\(dashboard)\apps\market\[name]\page.tsx","Manifest",,"System.Text.RegularExpressions.Match[]"
"True","39","            console.error(""Manifest Sync Failure:"", err);","page.tsx","D:\code\ERP\nexus\frontend\src\app\(dashboard)\apps\market\[name]\page.tsx","Manifest",,"System.Text.RegularExpressions.Match[]"
"True","46","        syncModuleManifest(true);","page.tsx","D:\code\ERP\nexus\frontend\src\app\(dashboard)\apps\market\[name]\page.tsx","Manifest",,"System.Text.RegularExpressions.Match[]"
"True","47","        const interval = setInterval(() => syncModuleManifest(false), 30000);","page.tsx","D:\code\ERP\nexus\frontend\src\app\(dashboard)\apps\market\[name]\page.tsx","Manifest",,"System.Text.RegularExpressions.Match[]"
"True","55","            syncModuleManifest(true);","page.tsx","D:\code\ERP\nexus\frontend\src\app\(dashboard)\apps\market\[name]\page.tsx","Manifest",,"System.Text.RegularExpressions.Match[]"
"True","65","            syncModuleManifest(true);","page.tsx","D:\code\ERP\nexus\frontend\src\app\(dashboard)\apps\market\[name]\page.tsx","Manifest",,"System.Text.RegularExpressions.Match[]"
"True","71","    if (loading) return <div className=""p-8 text-slate-400 font-black uppercase tracking-widest italic animate-pulse"">Synchronizing Manifest...</div>;","page.tsx","D:\code\ERP\nexus\frontend\src\app\(dashboard)\apps\market\[name]\page.tsx","Manifest",,"System.Text.RegularExpressions.Match[]"
"True","72","    if (!app) return <div className=""p-8 text-slate-900 bg-slate-50 min-h-screen font-black uppercase tracking-widest uppercase italic"">Module [${appName}] not found in Klypso Registry.</div>;","page.tsx","D:\code\ERP\nexus\frontend\src\app\(dashboard)\apps\market\[name]\page.tsx","Registry",,"System.Text.RegularExpressions.Match[]"
"True","132","                                {app.description || ""No extended manifest details found for this module.""}","page.tsx","D:\code\ERP\nexus\frontend\src\app\(dashboard)\apps\market\[name]\page.tsx","Manifest",,"System.Text.RegularExpressions.Match[]"
"True","140","                                    <div className=""text-[10px] text-slate-400 uppercase tracking-widest font-black"">Data Integrity</div>","page.tsx","D:\code\ERP\nexus\frontend\src\app\(dashboard)\apps\market\[name]\page.tsx","Integrity",,"System.Text.RegularExpressions.Match[]"
"True","58","                    <ArrowLeft className=""mr-2 h-4 w-4"" /> Node Registry","page.tsx","D:\code\ERP\nexus\frontend\src\app\(dashboard)\crm\[id]\page.tsx","Registry",,"System.Text.RegularExpressions.Match[]"
"True","120","                    <TabsTrigger value=""departments"" className=""data-[state=active]:bg-white data-[state=active]:text-blue-600 data-[state=active]:shadow-sm rounded-xl px-8 py-2.5 font-bold transition-all"">Operational Clusters</TabsTrigger>","page.tsx","D:\code\ERP\nexus\frontend\src\app\(dashboard)\hr\page.tsx","Cluster",,"System.Text.RegularExpressions.Match[]"
"True","128","                            <CardTitle className=""text-slate-900 text-xl font-black"">Personnel Registry</CardTitle>","page.tsx","D:\code\ERP\nexus\frontend\src\app\(dashboard)\hr\page.tsx","Registry",,"System.Text.RegularExpressions.Match[]"
"True","136","                                        <TableHead className=""text-slate-500 font-bold uppercase text-[10px] tracking-widest"">Full Designation</TableHead>","page.tsx","D:\code\ERP\nexus\frontend\src\app\(dashboard)\hr\page.tsx","Designation",,"System.Text.RegularExpressions.Match[]"
"True","172","                            <CardTitle className=""text-slate-900 text-xl font-black"">Organization Clusters</CardTitle>","page.tsx","D:\code\ERP\nexus\frontend\src\app\(dashboard)\hr\page.tsx","Cluster",,"System.Text.RegularExpressions.Match[]"
"True","60","    const syncRegistry = async (showLoading = false) => {","page.tsx","D:\code\ERP\nexus\frontend\src\app\(dashboard)\inventory\page.tsx","Registry",,"System.Text.RegularExpressions.Match[]"
"True","80","            console.error(""Registry Sync Failure:"", err);","page.tsx","D:\code\ERP\nexus\frontend\src\app\(dashboard)\inventory\page.tsx","Registry",,"System.Text.RegularExpressions.Match[]"
"True","90","        syncRegistry(true);","page.tsx","D:\code\ERP\nexus\frontend\src\app\(dashboard)\inventory\page.tsx","Registry",,"System.Text.RegularExpressions.Match[]"
"True","93","        const interval = setInterval(() => syncRegistry(false), 30000);","page.tsx","D:\code\ERP\nexus\frontend\src\app\(dashboard)\inventory\page.tsx","Registry",,"System.Text.RegularExpressions.Match[]"
"True","125","            syncRegistry(false);","page.tsx","D:\code\ERP\nexus\frontend\src\app\(dashboard)\inventory\page.tsx","Registry",,"System.Text.RegularExpressions.Match[]"
"True","159","            syncRegistry(false);","page.tsx","D:\code\ERP\nexus\frontend\src\app\(dashboard)\inventory\page.tsx","Registry",,"System.Text.RegularExpressions.Match[]"
"True","201","                    syncRegistry(false);","page.tsx","D:\code\ERP\nexus\frontend\src\app\(dashboard)\inventory\page.tsx","Registry",,"System.Text.RegularExpressions.Match[]"
"True","236","                syncRegistry(false);","page.tsx","D:\code\ERP\nexus\frontend\src\app\(dashboard)\inventory\page.tsx","Registry",,"System.Text.RegularExpressions.Match[]"
"True","284","                        <CardTitle className=""text-[10px] font-black text-slate-400 uppercase tracking-widest"">Critical Resource Thresholds</CardTitle>","page.tsx","D:\code\ERP\nexus\frontend\src\app\(dashboard)\inventory\page.tsx","Threshold",,"System.Text.RegularExpressions.Match[]"
"True","294","                        <CardTitle className=""text-[10px] font-black text-slate-400 uppercase tracking-widest"">Market Integrity Value</CardTitle>","page.tsx","D:\code\ERP\nexus\frontend\src\app\(dashboard)\inventory\page.tsx","Integrity",,"System.Text.RegularExpressions.Match[]"
"True","299","                        <p className=""text-xs text-slate-500 mt-2 font-bold tracking-tight"">Total ecosphere valuation</p>","page.tsx","D:\code\ERP\nexus\frontend\src\app\(dashboard)\inventory\page.tsx","Ecosphere",,"System.Text.RegularExpressions.Match[]"
"True","316","                                    <Label className=""text-slate-500 font-bold uppercase text-[10px] tracking-widest"">Product Designation <span className=""text-rose-500"">*</span></Label>","page.tsx","D:\code\ERP\nexus\frontend\src\app\(dashboard)\inventory\page.tsx","Designation",,"System.Text.RegularExpressions.Match[]"
"True","338","                                    <Label className=""text-rose-500 font-bold uppercase text-[10px] tracking-widest"">Min Alert Stock Threshold</Label>","page.tsx","D:\code\ERP\nexus\frontend\src\app\(dashboard)\inventory\page.tsx","Threshold",,"System.Text.RegularExpressions.Match[]"
"True","405","                                <Label className=""text-slate-500 font-bold uppercase text-[10px] tracking-widest"">Product Designation <span className=""text-rose-500"">*</span></Label>","page.tsx","D:\code\ERP\nexus\frontend\src\app\(dashboard)\inventory\page.tsx","Designation",,"System.Text.RegularExpressions.Match[]"
"True","427","                                <Label className=""text-rose-500 font-bold uppercase text-[10px] tracking-widest"">Min Alert Stock Threshold</Label>","page.tsx","D:\code\ERP\nexus\frontend\src\app\(dashboard)\inventory\page.tsx","Threshold",,"System.Text.RegularExpressions.Match[]"
"True","557","                                <TableHead className=""text-slate-500 font-bold uppercase text-[10px] tracking-widest"">Asset Designation</TableHead>","page.tsx","D:\code\ERP\nexus\frontend\src\app\(dashboard)\inventory\page.tsx","Designation",,"System.Text.RegularExpressions.Match[]"
"True","558","                                <TableHead className=""text-slate-500 font-bold uppercase text-[10px] tracking-widest"">Asset Class Cluster</TableHead>","page.tsx","D:\code\ERP\nexus\frontend\src\app\(dashboard)\inventory\page.tsx","Cluster",,"System.Text.RegularExpressions.Match[]"
"True","559","                                <TableHead className=""text-slate-500 font-bold uppercase text-[10px] tracking-widest"">Forensic Audit</TableHead>","page.tsx","D:\code\ERP\nexus\frontend\src\app\(dashboard)\inventory\page.tsx","Forensic",,"System.Text.RegularExpressions.Match[]"
"True","560","                                <TableHead className=""text-slate-500 font-bold uppercase text-[10px] tracking-widest"">Resource Intensity</TableHead>","page.tsx","D:\code\ERP\nexus\frontend\src\app\(dashboard)\inventory\page.tsx","Intensity",,"System.Text.RegularExpressions.Match[]"
"True","561","                                <TableHead className=""text-slate-500 font-bold uppercase text-[10px] tracking-widest"">Asset Valuation</TableHead>","page.tsx","D:\code\ERP\nexus\frontend\src\app\(dashboard)\inventory\page.tsx","Valuation",,"System.Text.RegularExpressions.Match[]"
"True","562","                                <TableHead className=""text-slate-500 font-bold uppercase text-[10px] tracking-widest text-right pr-8"">Market Integrity Value</TableHead>","page.tsx","D:\code\ERP\nexus\frontend\src\app\(dashboard)\inventory\page.tsx","Integrity",,"System.Text.RegularExpressions.Match[]"
